00:59:36 INF [TCP] connected lAddr=127.0.0.1:40432 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=节点选择[新加坡10]
00:59:36 INF [TCP] connected lAddr=127.0.0.1:40442 rAddr=ocsp.pki.goog:80 mode=rule rule=GeoIP(CN) proxy=DIRECT
00:59:37 INF [TCP] connected lAddr=127.0.0.1:40444 rAddr=id.google.com:443 mode=rule rule=DomainKeyword(google) proxy=节点选择[新加坡10]
00:59:39 INF [TCP] connected lAddr=127.0.0.1:60184 rAddr=adservice.google.com:443 mode=rule rule=DomainKeyword(google) proxy=节点选择[新加坡10]
00:59:40 INF [TCP] connected lAddr=127.0.0.1:60188 rAddr=q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
00:59:40 INF [TCP] connected lAddr=127.0.0.1:60198 rAddr=ocsp.digicert.cn:80 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
00:59:41 INF [TCP] connected lAddr=127.0.0.1:60210 rAddr=ssl.captcha.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
00:59:41 INF [TCP] connected lAddr=127.0.0.1:60224 rAddr=pingjs.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
00:59:41 INF [TCP] connected lAddr=127.0.0.1:60254 rAddr=qqminiapp.cdn-go.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
00:59:41 INF [TCP] connected lAddr=127.0.0.1:60226 rAddr=qqminiapp.cdn-go.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
00:59:41 INF [TCP] connected lAddr=127.0.0.1:60232 rAddr=qqminiapp.cdn-go.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
00:59:41 INF [TCP] connected lAddr=127.0.0.1:60242 rAddr=qqminiapp.cdn-go.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
00:59:41 INF [TCP] connected lAddr=127.0.0.1:60266 rAddr=ocsp.digicert.cn:80 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
00:59:41 INF [TCP] connected lAddr=127.0.0.1:60282 rAddr=captcha.gtimg.com:443 mode=rule rule=DomainSuffix(gtimg.com) proxy=DIRECT
00:59:42 INF [TCP] connected lAddr=127.0.0.1:60284 rAddr=qq-mini-app-1251316161.cos.ap-guangzhou.myqcloud.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
00:59:42 INF [TCP] connected lAddr=127.0.0.1:60294 rAddr=captcha.gtimg.com:443 mode=rule rule=DomainSuffix(gtimg.com) proxy=DIRECT
00:59:46 INF [TCP] connected lAddr=127.0.0.1:60310 rAddr=t.captcha.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
00:59:46 INF [TCP] connected lAddr=127.0.0.1:60296 rAddr=h.trace.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
00:59:47 INF [TCP] connected lAddr=127.0.0.1:60320 rAddr=t.captcha.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
